Pais,Capital,Colores_Bandera,processed_at
Argentina,Buenos Aires,"Celeste, Blanco",2025-10-28T03:46:37.527703
Brasil,Brasilia,"Verde, Amarillo, Azul",2025-10-28T03:46:37.527703
Chile,Santiago,"Rojo, Blanco, Azul",2025-10-28T03:46:37.527703
Colombia,Bogotá,"Amarillo, Azul, Rojo",2025-10-28T03:46:37.527703
España,Madrid,"Rojo, Amarillo",2025-10-28T03:46:37.527703
Francia,París,"Azul, Blanco, Rojo",2025-10-28T03:46:37.527703
Italia,Roma,"Verde, Blanco, Rojo",2025-10-28T03:46:37.527703
Japón,Tokio,"Blanco, Rojo",2025-10-28T03:46:37.527703
México,Ciudad de México,"Verde, Blanco, Rojo",2025-10-28T03:46:37.527703
Estados Unidos,Washington D.C.,"Rojo, Blanco, Azul",2025-10-28T03:46:37.527703
